key,worker_id,agreement
"(270, 1)",A6Y7BLDK90Q19,0
"(51, 3)",AR7TQDJ59O2KZ,-3
"(51, 3)",ASFB8DYO1E4C6,-3
"(51, 3)",A2MR259UZRESDS,-4
"(51, 3)",A3DSRQ5CBK6G3U,0
"(51, 3)",A2HUSOVMMRJNNX,3
"(51, 3)",A3OTQF9XCTAS1A,-1
"(1322, 0)",A2P8XDALGST5YT,5
"(1322, 0)",A2VTDOJE2XP8TK,-2
"(1322, 0)",A3S0NNL81WJSEH,-2
"(1322, 0)",A1V2JY1MJ4P6CF,3
"(132, 6)",A1UDQV4PUFYPKN,2
"(132, 6)",AYPSH4IO5G1YA,1
"(132, 6)",A2QJEPX10Y3CTQ,4
"(132, 6)",A3P7PPQA3EU1H3,-1
"(132, 6)",A3R5CALO6EH0ZR,5
"(1351, 0)",A3NAZZEBINRI7Q,3
"(1351, 0)",A3P7PPQA3EU1H3,2
"(1351, 0)",AMID7O126S33V,-5
"(1351, 0)",A3QU3KM3IYWHIF,-5
"(1351, 0)",A36JZTUKQVV5S5,3
"(400, 3)",A1XFA0A9Z3LAZJ,5
"(400, 3)",AP1HCIYDB0OTX,2
"(400, 3)",AMID7O126S33V,2
"(400, 3)",A6QG9LM5WL0AQ,5
"(400, 3)",A7X7G33CQJ1PP,-2
"(1268, 4)",A1B2KIB7DPC2PR,2
"(1268, 4)",A17Q2CTSOVDMOS,2
"(1268, 4)",A3I8XSG316ZFOY,0
"(1268, 4)",A2JRWVPVWD1KAS,-2
"(1268, 4)",A1S291KFXPM33J,-3
"(1268, 4)",A3RXM9YYU92YDB,2
"(1268, 4)",A1PDWH50JFF6ZN,0
"(333, 1)",AFDLE79DCTIPP,0
"(333, 1)",ACJES3V0DVUGY,4
"(333, 1)",A1AI8MC07M7UBZ,1
"(333, 1)",A3R5CALO6EH0ZR,5
"(333, 1)",A1B2KIB7DPC2PR,-1
"(1280, 4)",A2P8XDALGST5YT,2
"(1280, 4)",A1HKSBZ5O41LZ3,-5
"(1280, 4)",A2JOQX1C7BNKXC,-1
"(1280, 4)",A31RKV21MUC3R0,-3
"(1280, 4)",A3R9QA29UA5FWV,-5
"(1280, 4)",A3QU3KM3IYWHIF,-4
"(1280, 4)",A3RXM9YYU92YDB,-1
"(1333, 4)",A3L6PFU6DOR8AY,-4
"(1333, 4)",A3C9A382KUWMS0,-5
"(1333, 4)",A3R5CALO6EH0ZR,-5
"(1333, 4)",AMID7O126S33V,-3
"(1333, 4)",A3P7PPQA3EU1H3,-2
"(160, 5)",A1U00BDONXG17C,0
"(160, 5)",AMID7O126S33V,0
"(160, 5)",A14NJ0E25UM25Q,0
"(160, 5)",A37XVHGR4ZSTSM,-4
"(160, 5)",A36JZTUKQVV5S5,5
"(1275, 5)",AWCCY9UU171TO,3
"(1275, 5)",A1V2JY1MJ4P6CF,3
"(179, 1)",A2HUSOVMMRJNNX,-4
"(179, 1)",A3P7PPQA3EU1H3,-3
"(179, 1)",AMID7O126S33V,-2
"(179, 1)",A3R5CALO6EH0ZR,-5
"(179, 1)",A37XVHGR4ZSTSM,-5
"(179, 1)",A17IWKV4G3N25X,-3
"(966, 2)",A3OTQF9XCTAS1A,0
"(966, 2)",A1A71B12O8GNO8,-2
"(966, 2)",A2O9ZPGNNBSH00,0
"(966, 2)",A3C9A382KUWMS0,0
"(966, 2)",A3P7PPQA3EU1H3,-2
"(395, 2)",A3NCDEGFFO83KW,3
"(395, 2)",A3S0NNL81WJSEH,-4
"(395, 2)",A3C9A382KUWMS0,0
"(395, 2)",A18JQFU6QCTI6G,-2
"(395, 2)",AMID7O126S33V,-2
"(395, 2)",A3P7PPQA3EU1H3,1
"(1093, 2)",AIY8WQZDKMD5C,-5
"(1093, 2)",ACJES3V0DVUGY,-5
"(1093, 2)",AMID7O126S33V,-5
"(1093, 2)",A2LV5QYHH24OMY,-2
"(1093, 2)",A3P7PPQA3EU1H3,-2
"(1093, 2)",A14NJ0E25UM25Q,0
"(1163, 2)",A32LCM1ZARQLOG,-2
"(1163, 2)",A3C9A382KUWMS0,-5
"(1163, 2)",A2VWJTNC4OKNI7,-2
"(1163, 2)",A24N92D5WYPBBZ,-4
"(1163, 2)",A17IWKV4G3N25X,-5
"(158, 1)",A2LLM1HGLCOOE0,3
"(158, 1)",AA7LA8WQNABDT,0
"(158, 1)",ASX2NOUVA9CRH,0
"(158, 1)",A3C9A382KUWMS0,5
"(158, 1)",A14NJ0E25UM25Q,0
"(726, 0)",A3P7PPQA3EU1H3,-1
"(726, 0)",A1UDQV4PUFYPKN,3
"(726, 0)",A3Q9GN63HHUQTF,0
"(726, 0)",A3P7PPQA3EU1H3,-1
"(726, 0)",A2ZAH15706RIUG,4
"(960, 4)",AFDLE79DCTIPP,0
"(960, 4)",A1R5D4GXRFV3JH,0
"(960, 4)",A2MR259UZRESDS,4
"(960, 4)",AMID7O126S33V,-1
"(960, 4)",A14NJ0E25UM25Q,0
"(174, 2)",A3C9A382KUWMS0,0
"(174, 2)",AP1HCIYDB0OTX,0
"(174, 2)",A6QG9LM5WL0AQ,0
"(174, 2)",A3AH8UT0TCYMUG,2
"(174, 2)",AMID7O126S33V,3
"(1, 4)",A3C9A382KUWMS0,5
"(1, 4)",A27DLL4E4JBOBA,2
"(1, 4)",A1HVEW7DUNZULN,5
"(1, 4)",A14NJ0E25UM25Q,0
"(1, 4)",AA7LA8WQNABDT,5
"(788, 3)",A3R5CALO6EH0ZR,4
"(788, 3)",AC8BGOG45QWA2,0
"(788, 3)",A1PDWH50JFF6ZN,0
"(788, 3)",ADGL6VGBT5KMV,0
"(788, 3)",A3RXM9YYU92YDB,1
"(788, 3)",A3374C8G2EUNVO,4
"(551, 2)",A3L6PFU6DOR8AY,2
"(551, 2)",A14NJ0E25UM25Q,0
"(551, 2)",AWZ83IBW10B96,-2
"(551, 2)",A3P7PPQA3EU1H3,-1
"(551, 2)",A2MWAXV1YRK5GH,0
"(1393, 3)",A1RD8SNJ9DNNZV,-5
"(1393, 3)",A1B2KIB7DPC2PR,-1
"(1393, 3)",A14NJ0E25UM25Q,0
"(1393, 3)",AMID7O126S33V,0
"(1393, 3)",A3QU3KM3IYWHIF,-3
"(653, 3)",A18JQFU6QCTI6G,4
"(653, 3)",A31O7P7Z650N7B,0
"(653, 3)",A1AI8MC07M7UBZ,2
"(653, 3)",AMID7O126S33V,0
"(653, 3)",A3R5CALO6EH0ZR,0
"(838, 1)",A14NJ0E25UM25Q,-3
"(838, 1)",A36JZTUKQVV5S5,3
"(838, 1)",A6Y7BLDK90Q19,1
"(838, 1)",A3F0OII70LQX09,3
"(838, 1)",A14NJ0E25UM25Q,0
"(1236, 3)",A3L6PFU6DOR8AY,-3
"(1236, 3)",A20HS06RD1TVTX,4
"(1236, 3)",A14NJ0E25UM25Q,0
"(1236, 3)",A3P7PPQA3EU1H3,-1
"(1236, 3)",A1B2KIB7DPC2PR,2
"(567, 1)",AOHHTBPD64EB6,5
"(567, 1)",A1BADZXRMPSPDC,4
"(567, 1)",ATY8RQ17JPXQD,-1
"(567, 1)",A38AZVYC5NZNVP,0
"(567, 1)",A3C9A382KUWMS0,5
"(567, 1)",A1BG4Z8AANP95N,4
"(567, 1)",ASX2NOUVA9CRH,0
"(940, 4)",A3BVJL7P490DCS,1
"(940, 4)",A1B2KIB7DPC2PR,2
"(940, 4)",A14NJ0E25UM25Q,0
"(940, 4)",A3P7PPQA3EU1H3,-1
"(940, 4)",AWGLY2Q18H4V4,2
"(403, 3)",A3DSRQ5CBK6G3U,1
"(403, 3)",A19FRD1IDZ65FW,-5
"(403, 3)",A2MWAXV1YRK5GH,-3
"(403, 3)",A3P7PPQA3EU1H3,-2
"(403, 3)",AMID7O126S33V,-2
"(354, 2)",A2Y05BZ2GQ6ZQA,0
"(354, 2)",A3OZ3M6SRO2QNO,3
"(354, 2)",A2HUSOVMMRJNNX,3
"(354, 2)",A3C9A382KUWMS0,5
"(354, 2)",A7ZOVHE48L7RS,3
"(1388, 4)",A2HUSOVMMRJNNX,3
"(1388, 4)",A7ZOVHE48L7RS,-1
"(1388, 4)",A14NJ0E25UM25Q,0
"(1388, 4)",A36CP7G5OZY030,5
"(1388, 4)",AMID7O126S33V,0
"(1388, 4)",A36JZTUKQVV5S5,0
"(12, 0)",A3C9A382KUWMS0,-5
"(12, 0)",AWGLY2Q18H4V4,-5
"(12, 0)",A3R5CALO6EH0ZR,-5
"(12, 0)",A36CP7G5OZY030,-5
"(12, 0)",A3P7PPQA3EU1H3,1
"(1331, 3)",A17Q2CTSOVDMOS,2
"(1331, 3)",A7ZOVHE48L7RS,1
"(1331, 3)",A37XVHGR4ZSTSM,2
"(62, 2)",A1RY171OVII8ZS,-1
"(62, 2)",A3LDLSCN3Q6DHS,-4
"(62, 2)",A3DSRQ5CBK6G3U,2
"(62, 2)",A3CT5E0WZJL8PG,-2
"(62, 2)",AMID7O126S33V,-2
"(469, 4)",AMVUYWMJYEJG7,2
"(469, 4)",AUPP0DR91NYAN,-2
"(469, 4)",A3OZ3M6SRO2QNO,3
"(469, 4)",A3DSRQ5CBK6G3U,3
"(469, 4)",A3R5CALO6EH0ZR,5
"(469, 4)",A17IWKV4G3N25X,4
"(682, 6)",A3NOYY9P7P7JTJ,5
"(682, 6)",A3R5CALO6EH0ZR,5
"(682, 6)",A3P7PPQA3EU1H3,2
"(682, 6)",A7X7G33CQJ1PP,5
"(682, 6)",A37XVHGR4ZSTSM,4
"(1114, 5)",A1B2KIB7DPC2PR,-3
"(1114, 5)",A1R4UI08RDSGD2,-5
"(1114, 5)",AP1HCIYDB0OTX,-3
"(1114, 5)",A7ZOVHE48L7RS,2
"(1114, 5)",A1RF70DSVAZVI6,-5
"(1114, 5)",A2QTARMOEUQMF1,-2
"(1114, 5)",A1BS484S0O76YT,-4
"(466, 3)",A1HT0P0A23PXW6,4
"(466, 3)",A3DSRQ5CBK6G3U,0
"(466, 3)",A3OTQF9XCTAS1A,2
"(466, 3)",A2K5DBDYP7G4PC,-3
"(466, 3)",A3F0OII70LQX09,0
"(466, 3)",A2PE5UDQ5WG2R0,1
"(590, 5)",AE7HUJETMTTTS,0
"(590, 5)",A2PE5UDQ5WG2R0,1
"(590, 5)",A7X7G33CQJ1PP,0
"(590, 5)",A1B2KIB7DPC2PR,-1
"(590, 5)",A14NJ0E25UM25Q,0
"(1130, 6)",A2O9ZPGNNBSH00,0
"(1130, 6)",AP1HCIYDB0OTX,-1
"(1130, 6)",A36CP7G5OZY030,-4
"(1130, 6)",AMID7O126S33V,-1
"(1130, 6)",A14NJ0E25UM25Q,0
"(963, 2)",AIY8WQZDKMD5C,-5
"(963, 2)",A18JQFU6QCTI6G,-5
"(963, 2)",ACJES3V0DVUGY,0
"(963, 2)",A2MR259UZRESDS,-5
"(963, 2)",A1AI8MC07M7UBZ,-1
"(1025, 3)",A14NJ0E25UM25Q,-2
"(1025, 3)",ADN76VWLV3O5S,-2
"(1025, 3)",A3P7PPQA3EU1H3,-1
"(1025, 3)",A14NJ0E25UM25Q,0
"(1025, 3)",A1B2KIB7DPC2PR,1
"(1025, 3)",A3F0OII70LQX09,-3
"(346, 0)",A3BVJL7P490DCS,1
"(346, 0)",A2UVWBMB5V045G,-3
"(346, 0)",A2PE5UDQ5WG2R0,-2
"(346, 0)",AMID7O126S33V,0
"(346, 0)",A3R5CALO6EH0ZR,5
"(346, 0)",A14NJ0E25UM25Q,0
"(294, 2)",A3C9A382KUWMS0,0
"(294, 2)",AGPRRX9GD0XJ4,-2
"(294, 2)",A14NJ0E25UM25Q,-1
"(294, 2)",AMID7O126S33V,-2
"(294, 2)",A37XVHGR4ZSTSM,-5
"(541, 3)",A12AICIWGAEUPU,0
"(541, 3)",A2HUSOVMMRJNNX,-1
"(541, 3)",A6Y7BLDK90Q19,0
"(541, 3)",A209T4ZL3NKV8H,-3
"(541, 3)",A36CP7G5OZY030,5
"(541, 3)",A2Z2CVOBYA74B0,0
"(914, 6)",ADN76VWLV3O5S,-5
"(914, 6)",A14NJ0E25UM25Q,0
"(914, 6)",A23BF2Z5VLQ2AV,-4
"(914, 6)",A2Q3ZPCNE2EOAO,-5
"(914, 6)",A28BJ8N1WW4EU3,-3
"(174, 3)",A3C9A382KUWMS0,0
"(174, 3)",AP1HCIYDB0OTX,-1
"(174, 3)",A6QG9LM5WL0AQ,0
"(174, 3)",A3AH8UT0TCYMUG,0
"(174, 3)",AMID7O126S33V,-2
"(140, 6)",A1RF70DSVAZVI6,0
"(140, 6)",A2P8XDALGST5YT,1
"(140, 6)",A2MWAXV1YRK5GH,0
"(140, 6)",A2VWJTNC4OKNI7,1
"(140, 6)",A34YHCJMC3IUYT,-5
"(140, 6)",AWCCY9UU171TO,0
"(538, 0)",ADN76VWLV3O5S,-3
"(538, 0)",A26QEA0QVDG0R,-2
"(538, 0)",AMID7O126S33V,-2
"(538, 0)",A14NJ0E25UM25Q,0
"(538, 0)",A37XVHGR4ZSTSM,0
"(538, 0)",A1B2KIB7DPC2PR,2
"(125, 4)",AA7LA8WQNABDT,-5
"(125, 4)",A22C0PJUBFJTI0,0
"(125, 4)",A3C9A382KUWMS0,0
"(125, 4)",A2MWAXV1YRK5GH,-2
"(125, 4)",A1B2KIB7DPC2PR,-2
"(122, 3)",A2JUQZCATTLG5P,0
"(122, 3)",A3DSRQ5CBK6G3U,0
"(122, 3)",AMID7O126S33V,0
"(122, 3)",A36JZTUKQVV5S5,0
"(122, 3)",A209T4ZL3NKV8H,0
"(122, 3)",A14NJ0E25UM25Q,0
"(51, 5)",AR7TQDJ59O2KZ,-3
"(51, 5)",ASFB8DYO1E4C6,5
"(51, 5)",A2MR259UZRESDS,5
"(51, 5)",A3DSRQ5CBK6G3U,0
"(51, 5)",A2HUSOVMMRJNNX,1
"(51, 5)",A3OTQF9XCTAS1A,0
"(36, 4)",A3DSRQ5CBK6G3U,0
"(36, 4)",A36JZTUKQVV5S5,3
"(36, 4)",A3R5CALO6EH0ZR,2
"(36, 4)",AMID7O126S33V,0
"(36, 4)",A2Q3ZPCNE2EOAO,5
"(770, 0)",ADN76VWLV3O5S,-2
"(770, 0)",AWGLY2Q18H4V4,3
"(770, 0)",A1JQS9AN8LEAKZ,-2
"(770, 0)",A3P7PPQA3EU1H3,0
"(770, 0)",A2FDXVWVI05XA4,-1
"(968, 4)",A6Y7BLDK90Q19,-1
"(968, 4)",AC8BGOG45QWA2,0
"(968, 4)",A1HAM6YI1YDUPY,0
"(968, 4)",AWCCY9UU171TO,-2
"(968, 4)",A1V2JY1MJ4P6CF,-3
"(299, 0)",A2JOQX1C7BNKXC,2
"(299, 0)",AMID7O126S33V,-1
"(299, 0)",AR7TQDJ59O2KZ,-2
"(299, 0)",A3P7PPQA3EU1H3,-2
"(299, 0)",A17IWKV4G3N25X,-3
"(731, 5)",A2P8XDALGST5YT,2
"(731, 5)",A2GG12OU3AO26N,-4
"(731, 5)",AFC23NDG41MI5,-3
"(731, 5)",AWCCY9UU171TO,-1
"(731, 5)",AGPWUZJY43E0J,-4
"(731, 5)",A3HSFRJPM3E89Z,-5
"(9, 4)",A5379LUINT3PC,5
"(9, 4)",AMID7O126S33V,-2
"(9, 4)",A2QIK492LRTEUZ,-3
"(9, 4)",A3F0OII70LQX09,-3
"(9, 4)",A14NJ0E25UM25Q,0
"(416, 2)",A3C9A382KUWMS0,5
"(416, 2)",A1BG4Z8AANP95N,5
"(416, 2)",A2VUE4ZS570XKA,5
"(416, 2)",AMID7O126S33V,5
"(416, 2)",A7X7G33CQJ1PP,5
"(848, 5)",A17Q2CTSOVDMOS,-3
"(848, 5)",A2VTDOJE2XP8TK,-2
"(848, 5)",A4KLC0Y9IN7IQ,1
"(398, 1)",A2P3DCVI26JR3G,5
"(398, 1)",A14NJ0E25UM25Q,0
"(398, 1)",A1B2KIB7DPC2PR,-2
"(398, 1)",A3P7PPQA3EU1H3,-1
"(398, 1)",A2Z2CVOBYA74B0,5
"(383, 1)",A5379LUINT3PC,5
"(383, 1)",AMID7O126S33V,-5
"(383, 1)",A3R5CALO6EH0ZR,3
"(383, 1)",AKJ22H1NTVIQX,-4
"(383, 1)",A3AH8UT0TCYMUG,-3
"(710, 5)",A1PDWH50JFF6ZN,-5
"(710, 5)",A3K6PB2HIE23W0,-2
"(710, 5)",AWCCY9UU171TO,-1
"(710, 5)",A3QYN6MOKS45C4,3
"(263, 5)",A2P3DCVI26JR3G,3
"(263, 5)",A3FM3KWYVBBZ15,-1
"(263, 5)",AMID7O126S33V,-1
"(263, 5)",A2PE5UDQ5WG2R0,2
"(263, 5)",A36CP7G5OZY030,5
"(263, 5)",ACVEFRSUAPSEQ,0
"(846, 1)",A1UDQV4PUFYPKN,1
"(846, 1)",AHOARZ6ADFC90,2
"(846, 1)",A3C9A382KUWMS0,0
"(846, 1)",A3P7PPQA3EU1H3,-1
"(846, 1)",AMID7O126S33V,-1
"(1244, 3)",A6Y7BLDK90Q19,0
